extroversion,critical,dependable,anxious,open,reserved,sympathetic,disorganized,calm,conventional,control
Agree strongly,Disagree moderately,Agree strongly,Agree moderately,Agree strongly,Agree a little,Agree strongly,Disagree a little,Agree a little,Disagree strongly,No
Agree moderately,Agree moderately,Agree moderately,Agree a little,Agree strongly,Disagree strongly,Agree strongly,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,No
Disagree moderately,Neither agree nor disagree,Agree a little,Agree moderately,Disagree a little,Agree moderately,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree moderately,No
Agree strongly,Disagree moderately,Agree strongly,Disagree strongly,Agree strongly,Disagree moderately,Agree moderately,Disagree strongly,Neither agree nor disagree,Disagree strongly,No
Agree a little,Agree a little,Agree strongly,Disagree moderately,Agree moderately,Agree strongly,Neither agree nor disagree,Disagree moderately,Agree strongly,Disagree strongly,No
Agree a little,Neither agree nor disagree,Agree moderately,Agree a little,Agree strongly,Agree a little,Agree moderately,Disagree strongly,Neither agree nor disagree,Disagree a little,No
Disagree strongly,Agree moderately,Agree strongly,Agree moderately,Agree strongly,Agree strongly,Agree moderately,Disagree strongly,Agree moderately,Disagree moderately,No
Agree moderately,Neither agree nor disagree,Agree moderately,Agree strongly,Agree strongly,Agree moderately,Agree moderately,Agree strongly,Disagree moderately,Disagree strongly,No
Agree strongly,Agree a little,Agree moderately,Agree moderately,Agree strongly,Agree a little,Agree strongly,Agree moderately,Agree a little,Disagree strongly,No
Agree moderately,Agree moderately,Agree strongly,Agree strongly,Agree moderately,Agree a little,Agree moderately,Disagree moderately,Agree a little,Disagree a little,No
Agree moderately,Disagree moderately,Agree strongly,Disagree strongly,Agree strongly,Neither agree nor disagree,Agree a little,Agree a little,Agree moderately,Disagree strongly,Yes
Agree a little,Agree moderately,Agree moderately,Agree moderately,Agree a little,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Yes
Agree strongly,Neither agree nor disagree,Agree moderately,Neither agree nor disagree,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Agree a little,Disagree moderately,No
Agree moderately,Agree a little,Agree moderately,Agree moderately,Agree a little,Neither agree nor disagree,Agree moderately,Disagree moderately,Disagree a little,Disagree a little,No
Agree a little,Disagree a little,Agree a little,Agree strongly,Agree strongly,Disagree a little,Agree strongly,Disagree a little,Agree a little,Disagree strongly,No
Agree strongly,Agree a little,Neither agree nor disagree,Disagree moderately,Agree strongly,Disagree strongly,Agree strongly,Agree a little,Disagree moderately,Disagree strongly,No
Disagree a little,Agree moderately,Agree a little,Agree moderately,Disagree a little,Agree a little,Agree moderately,Agree strongly,Neither agree nor disagree,Disagree moderately,No
Disagree moderately,Neither agree nor disagree,Agree moderately,Agree strongly,Agree moderately,Agree moderately,Agree moderately,Agree a little,Disagree moderately,Disagree moderately,Yes
Agree strongly,Agree strongly,Agree strongly,Agree a little,Agree strongly,Agree moderately,Agree a little,Neither agree nor disagree,Agree a little,Disagree moderately,No
Agree moderately,Neither agree nor disagree,Agree a little,Agree a little,Agree moderately,Disagree a little,Agree strongly,Disagree a little,Agree strongly,Disagree a little,Yes
Agree strongly,Agree moderately,Agree strongly,Agree strongly,Agree strongly,Neither agree nor disagree,Agree strongly,Disagree moderately,Agree strongly,Disagree moderately,No
Disagree a little,Neither agree nor disagree,Agree moderately,Neither agree nor disagree,Agree a little,Agree moderately,Agree a little,Disagree a little,Disagree a little,Neither agree nor disagree,Yes
Agree strongly,Agree a little,Agree moderately,Agree a little,Agree strongly,Disagree strongly,Agree strongly,Neither agree nor disagree,Disagree moderately,Disagree a little,Yes
Agree moderately,Disagree a little,Agree moderately,Disagree strongly,Agree moderately,Agree a little,Agree moderately,Agree strongly,Agree strongly,Disagree strongly,No
Agree strongly,Disagree a little,Agree a little,Neither agree nor disagree,Agree moderately,Agree a little,Agree moderately,Agree moderately,Neither agree nor disagree,Agree moderately,No
Agree strongly,Disagree a little,Agree moderately,Disagree moderately,Agree strongly,Agree a little,Agree moderately,Disagree strongly,Agree moderately,Disagree strongly,No
Agree a little,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Agree strongly,Agree moderately,Disagree moderately,Disagree strongly,Agree moderately,Disagree moderately,No
Agree moderately,Agree moderately,Agree moderately,Disagree moderately,Agree strongly,Agree a little,Neither agree nor disagree,Disagree moderately,Agree moderately,Disagree a little,Yes
Agree strongly,Agree a little,Agree a little,Disagree a little,Agree strongly,Disagree a little,Agree moderately,Agree a little,Agree a little,Disagree a little,No
Disagree a little,Agree moderately,Agree a little,Agree strongly,Agree a little,Agree moderately,Agree moderately,Neither agree nor disagree,Disagree a little,Disagree strongly,Yes
Disagree moderately,Agree strongly,Disagree moderately,Agree a little,Agree moderately,Agree strongly,Agree moderately,Disagree a little,Neither agree nor disagree,Disagree moderately,No
Agree a little,Neither agree nor disagree,Agree moderately,Disagree strongly,Agree strongly,Agree a little,Agree a little,Neither agree nor disagree,Disagree a little,Agree a little,No
Agree moderately,Agree strongly,Agree a little,Disagree a little,Agree moderately,Disagree moderately,Agree moderately,Disagree strongly,Agree a little,Disagree moderately,Yes
Agree moderately,Disagree moderately,Agree strongly,Disagree a little,Agree strongly,Disagree moderately,Agree a little,Disagree strongly,Agree moderately,Disagree strongly,No
Agree a little,Agree moderately,Agree strongly,Agree strongly,Agree a little,Disagree a little,Agree a little,Agree moderately,Disagree moderately,Disagree moderately,No
Agree a little,Agree a little,Agree moderately,Agree strongly,Agree moderately,Neither agree nor disagree,Agree strongly,Disagree moderately,Disagree a little,Agree a little,No
Disagree a little,Agree moderately,Agree strongly,Agree moderately,Agree moderately,Agree a little,Neither agree nor disagree,Disagree moderately,Neither agree nor disagree,Disagree moderately,No
